id,tool,type,district,use_case,prompt,negative_prompt,width,height,seed,output_target,notes
pcity_lower_grid_floorplan_01,sd35,topdown_map,lower_grid,map_mask_reference,"top-down orthographic cyberpunk underpass district floor plan for an original Diablo-like ARPG, readable combat lanes, looped paths, chokepoints, side rooms, safe vendor pocket, boss gate, no labels, no text, high contrast black walls and blue walkable paths, procedural generation reference","text, labels, logo, watermark, fantasy medieval, first person perspective, realistic satellite map",1536,1536,6101,assets/art_source/maps/lower_grid_floorplan_01.png,"Use as visual reference; convert to ASCII/JSON mask manually or with image processing."
pcity_rainmarket_floorplan_01,sd35,topdown_map,rainmarket,map_mask_reference,"top-down orthographic rainy cyberpunk street market district floor plan, original top-down ARPG layout, wide combat plazas, narrow vendor alleys, shortcut loops, clinic safe room, neon stall clusters, no readable text, abstract colored zones","text, labels, logo, watermark, medieval dungeon, photoreal street photo, perspective camera",1536,1536,6102,assets/art_source/maps/rainmarket_floorplan_01.png,"Designed for Act 0 and Act 1 filler maps."
pcity_helix_plaza_floorplan_01,sd35,topdown_map,helix_plaza,map_mask_reference,"top-down orthographic corporate cyberpunk plaza combat map, original ARPG layout, symmetrical security checkpoint, glass plaza lanes, side offices, drone depot, locked doors, cover islands, no labels, no logo, no text","text, labels, logos, copyrighted map, fantasy castle, first person perspective",1536,1536,6103,assets/art_source/maps/helix_plaza_floorplan_01.png,"Use for corporate containment district variations."
pcity_holo_canyon_floorplan_01,sd35,topdown_map,holo_canyon,map_mask_reference,"top-down orthographic hologram canyon district map for original cyberpunk ARPG, fragmented hardlight platforms, looping bridges, arena pockets, corrupted signal hazard zones, readable lanes, no text, no logos","readable typography, brand logos, watermark, medieval dungeon, realistic city map",1536,1536,6104,assets/art_source/maps/holo_canyon_floorplan_01.png,"Use for net entity areas."
pcity_lower_grid_tile_set_tripo,tripo,text_to_model,lower_grid,modular_tile_set,"original modular cyberpunk underpass tile kit for top-down isometric ARPG, four meter floor slab, wall section, doorway section, corner section, wet concrete, metal grates, cyan magenta neon cable strips, clean game-ready hard surface geometry, no text, no logos","text, logo, watermark, fantasy stone dungeon, tiny unusable parts, melted geometry, real brand",0,0,6201,assets/meshes/tiles/lower_grid/tripo_tile_kit.glb,"Generate as reference kit; split/clean tiles in Blender."
pcity_rainmarket_props_tripo,tripo,text_to_model,rainmarket,prop_cluster,"original cyberpunk rainmarket environment prop cluster, noodle stall without readable signs, tarp canopy, crates, cable bundles, puddle pump, compact readable silhouettes for top-down ARPG, no text, no logos","text, logo, watermark, real brand, crowded unusable clutter, fantasy tent",0,0,6202,assets/meshes/props/rainmarket_prop_cluster.glb,"Break into individual props in Blender."
pcity_helix_checkpoint_tripo,tripo,text_to_model,helix_plaza,landmark,"original corporate cyberpunk security checkpoint gate for top-down ARPG, modular scanner arch, barricades, black glass panels, red warning lights, no readable text, no logos, game-ready hard surface mesh","text, logo, watermark, real corporate brand, medieval gate, melted geometry",0,0,6203,assets/meshes/landmarks/helix_checkpoint_gate.glb,"Landmark and encounter gate."
pcity_holo_bridge_tripo,tripo,text_to_model,holo_canyon,tile_landmark,"original holographic hardlight bridge module for top-down cyberpunk ARPG, transparent blue panels, neon edge rails, compact 4 meter connection points, clean readable geometry, no text, no logos","letters, logo, watermark, fantasy bridge, too thin geometry, broken mesh",0,0,6204,assets/meshes/tiles/holo_canyon/holo_bridge.glb,"Use as modular bridge."
pcity_boss_arena_lower_grid,sd35,arena_reference,lower_grid,boss_arena,"top-down orthographic boss arena layout for original cyberpunk ARPG, circular underpass arena, four hazard generators, cover positions, enemy add doors, clear player movement ring, no text, no logo, Diablo-like readability without copying any existing map","text, labels, logo, watermark, copied game map, medieval fantasy, first person",1536,1536,6301,assets/art_source/maps/boss_arena_lower_grid.png,"Reference for Chromejaw-style original boss arena."
pcity_safe_hub_rainmarket,sd35,hub_reference,rainmarket,safe_hub,"top-down orthographic safe hub layout for original cyberpunk ARPG, rainmarket clinic hub, vendor stalls, stash terminal, crafting bench, NPC pockets, noncombat readable paths, neon cyberpunk aesthetic, no labels, no text, no logo","text, labels, logo, watermark, fantasy tavern, first person perspective",1536,1536,6302,assets/art_source/maps/rainmarket_safe_hub.png,"Use for safe town-like hub."
