id,type,use_case,mode,prompt,negative_prompt,texture,pbr,texture_quality,geometry_quality,face_limit,quad,smart_low_poly,generate_parts,export_uv,notes
char_mara_voss,text_to_model,npc humanoid,text,"original cyberpunk underground surgeon woman, neutral A-pose, full body, black clinic coat, chrome fingers, utility belt, clean silhouette, asymmetrical medical shoulder light, game-ready character base mesh, no text, no logo","text, logo, watermark, copyrighted character, extra limbs, fused fingers, distorted face, weapon fused to body",true,true,detailed,detailed,35000,true,false,false,true,"Generate as character base; retopo in Blender if needed."
char_rainmarket_vendor,text_to_model,npc vendor,text,"original cyberpunk rainmarket noodle vendor, neutral A-pose, layered plastic rain poncho, augmented visor, portable cooking harness, friendly silhouette, full body game asset, no text, no logo","text, logo, watermark, copyrighted character, extra limbs, distorted anatomy, unreadable clutter",true,true,detailed,standard,30000,true,false,false,true,"Good for civilian vendor population."
enemy_neon_cutter,text_to_model,enemy humanoid,text,"original cyberpunk street gang melee enemy, neutral A-pose, slim agile silhouette, patched rain jacket, respirator mask, one separate neon knife accessory, combat boots, magenta cyan accents, game-ready enemy base mesh, no text, no logo","text, logo, watermark, famous character, extra limbs, fused weapon, messy silhouette",true,true,detailed,detailed,28000,true,false,false,true,"Separate weapon in Blender if fused."
enemy_voltage_enforcer,text_to_model,enemy bruiser,text,"original cyberpunk gang bruiser enemy, neutral A-pose, bulky padded jacket, electrical baton accessory, heavy boots, visible battery backpack, readable large silhouette, game-ready base mesh, no text, no logo","text, logo, watermark, extra arms, fused baton, distorted anatomy",true,true,detailed,detailed,32000,true,false,false,true,"Use as elite silhouette variant."
enemy_corp_scout_drone,text_to_model,drone enemy,text,"original compact corporate scout drone, hovering spherical body, camera eye, fold-out laser emitter, small stabilizer fins, black white gunmetal shell, red security lights, clean game asset, no text, no logo","text, logo, watermark, copyrighted robot, too many limbs, melted geometry",true,true,detailed,detailed,18000,false,true,false,true,"Smart low poly can help repeated drones."
enemy_suppression_bot,text_to_model,robot enemy,text,"original corporate suppression robot, stocky biped security machine, rectangular torso, rotating shoulder cannon housings, black glass and white armor panels, red warning lights, no text, no logo, game-ready hard surface mesh","text, logo, watermark, famous robot, organic face, extra limbs, melted parts",true,true,detailed,detailed,45000,true,false,false,true,"Hard-surface boss add."
boss_sanctum9,text_to_model,boss,text,"original cyberpunk corporate security angel drone boss, imposing symmetrical silhouette, wing-like laser arrays, black glass armor, red scanning eye, floating central core, game boss model concept, no text, no logo","text, logo, watermark, copyrighted robot, feathered angel, human face, messy silhouette",true,true,detailed,detailed,80000,false,false,true,true,"generate_parts can help separate wings/core; if using generate_parts set texture=false and pbr=false per API constraints."
boss_advert_god,text_to_model,boss,text,"original rogue holographic advertisement daemon boss, floating mask-like projector core, segmented neon panels, cable halo, abstract non-letter glyphs, no readable text, no logo, surreal cyberpunk game boss mesh","readable letters, logo, watermark, copyrighted character, human body, messy thin fragments",true,true,detailed,detailed,70000,false,false,true,true,"Avoid readable typography."
prop_hacked_terminal,text_to_model,interactive prop,text,"cyberpunk hacked terminal prop, rugged keyboard, cracked glass screen with abstract glow, cable bundles, compact floor-standing game asset, no readable text, no logo","letters, numbers, logo, watermark, brand, flat image plane only",true,true,detailed,standard,16000,false,true,false,true,"Interactable quest/hack object."
prop_clinic_workbench,text_to_model,crafting station,text,"underground cyberpunk clinic crafting workbench, medical tools, implant clamps, steel table, green small lights, no blood, no logo, no readable text, game environment prop","text, logo, brand, gore, messy clutter, floating pieces",true,true,detailed,standard,22000,false,true,false,true,"Use as crafting station."
prop_neon_generator,text_to_model,environment prop,text,"cyberpunk portable neon power generator prop, heavy battery case, glowing cyan coils, cables, rugged handles, game environment asset, no text, no logo","text, logo, watermark, brand, impossible thin wires only",true,true,detailed,standard,18000,false,true,false,true,"VFX socket source."
weapon_pulse_blade,text_to_model,loot weapon,text,"original cyberpunk pulse blade weapon, separate object, mono edge knife sword hybrid, black handle, cyan magenta energy channel, centered game asset, no text, no logo","text, logo, watermark, hand holding weapon, character, distorted blade",true,true,detailed,detailed,12000,true,false,false,true,"Use as weapon pickup/equipment model."
weapon_rail_pistol,text_to_model,loot weapon,text,"original cyberpunk rail pistol weapon, separate object, compact angular silhouette, black gunmetal body, cyan capacitor strip, no text, no logo, game-ready prop","text, logo, watermark, hand, character, real brand, distorted barrel",true,true,detailed,detailed,14000,true,false,false,true,"Ranged weapon mesh."
vehicle_hover_delivery_drone,text_to_model,background prop,text,"original cyberpunk hover delivery drone, boxy cargo body, four ducted fans, rain grime, cyan navigation lights, no text, no logo, environment prop","text, logo, watermark, real brand, messy propellers",true,true,detailed,standard,26000,true,false,false,true,"Set non-interactive background prop."
tile_holo_ad_kiosk,text_to_model,landmark tile,text,"modular cyberpunk hologram advertisement kiosk, blank display panels with no text, no logos, sturdy base, cables, neon cyan magenta glow, 4 meter game environment landmark","readable text, logo, watermark, thin unstable geometry",true,true,detailed,standard,30000,true,false,false,true,"Landmark prop for holo canyon."
